caption,dataset,category
"The woman in white clothes looks back at the man who walks to the side, continues to walk forward and speaks a few words to him, and is stopped by the man.",hcstvg1,3.4 Composite Action Sequences
"The red-haired woman walks to the person lying on the left, squats down, touches his head, and then lets go of it.",hcstvg1,3.4 Composite Action Sequences
The man in the vest turns and walks to the table,hcstvg1,3.1.1 Approach & Depart
The woman in black clothes lifts the leg of the man in horizontal stripes.,hcstvg1,3.3 Instantaneous Motion & Impact
The man in the plaid jacket picks up the box on the ground and puts it on the back seat of the car.,hcstvg1,3.3 Composite Action Sequences
"The woman next to the man in black clothes follows the man next to him, then stops.",hcstvg1,3.1.3 Following & Leading
The standing man walks behind the sitting man.,hcstvg1,3.1.1 Approach & Depart
"The man with the hat takes two steps to stops, speaks to the woman next to him, then turns and walks away.",hcstvg1,3.4 Composite Action Sequences
"The man who comes out of the door walks to the man without a hat and stops, speaks a few words to him, then turns away.",hcstvg1,3.1.1 Approach & Depart
The woman in plaid clothes stretches her hands from behind to the neck of the woman in gray clothes and walks away.,hcstvg1,3.1.1 Approach & Depart
The man in the white shirt closes the door and turns to the back of the car.,hcstvg1,3.3 Composite Action Sequences
The man in black wearing a white hat pushes the man in a white hat to the left and follows him.,hcstvg1,3.1.1 Approach & Depart
"The man in the suit turns around and shakes hands with the man in short sleeves, then goes to the desk and puts the bag on the table.",hcstvg1,3.4 Composite Action Sequences
The man in the suit takes a sip from the cup in the hand of the man in the hat.,hcstvg1,3.2 Object Transference
"The fat man in a suit turns around, with his hands back and forth, away from three people, and bypasses a car then leaves.",hcstvg1,3.1.1 Approach & Depart
"The man gets up and goes to the dining table, and puts down the plate in his hand.",hcstvg1,3.3 Composite Action Sequences
The man in the hat turns around.,hcstvg1,2.1 Actor State Change
The man in the sky blue dress puts his book on the left shelf.,hcstvg1,3.2 Object Transference
The woman kneeling on the ground brushes the ground.,hcstvg1,2.4 Durational States & Non-Actions
Man in uniform takes off his hat and makes a gesture,hcstvg1,3.4 Composite Action Sequences
The man runs up the steps and then turns away,hcstvg1,3.4 Composite Action Sequences
The man on the ground stands up.,hcstvg1,2.1 Actor State Change
"The man in the hat turns his head, then lowers his head.",hcstvg1,2.1 Actor State Change
"The woman with loose hair stretches out her hands and pushes away the man on her right, bends down and raises her hands and covers her face.",hcstvg1,3.4 Composite Action Sequences
The woman in the gray hat turns her head and speaks to the woman holding the lamp.,hcstvg1,2.1 Actor State Change
The undressed man turns his head and takes a few steps.,hcstvg1,2.1 Actor State Change
"The man in black clothes runs out of the door, then grabs the two men running to him with both hands and bumps them together, punches his right hand to the man 's face on the right.",hcstvg1,3.3 Instantaneous Motion & Impact
The woman in white clothes turns her head and picks up something on the table.,hcstvg1,3.4 Composite Action Sequences
"The woman sits down, then picks up the bowl and places it on the face of the opposite man.",hcstvg1,3.3 Composite Action Sequences
"The white-collar woman hugs the opposite woman, then takes off her coat and sits down.",hcstvg1,3.4 Composite Action Sequences
The woman on the opposite of the woman holding the lamp squats and turns her head.,hcstvg1,2.1 Actor State Change
"The woman in blue clothes raises her arms, says a few words, and lowers her arms.",hcstvg1,2.4 Durational States & Non-Actions
The woman in the red dress turns her head and then turns her head to the side.,hcstvg1,2.1 Actor State Change
The man in plaid clothes kneels down and puts his candle down.,hcstvg1,3.3 Composite Action Sequences
The man in the khaki jacket stretches out his hands and wipes his forehead with his right hand.,hcstvg1,2.1 Actor State Change
"The man in the hat shakes his hand with the opposite person, raises his hand, takes off the hat, puts it on, and walks away.",hcstvg1,3.3 Composite Action Sequences
The woman in gray clothes turns and walks away.,hcstvg1,2.1 Actor State Change
"The blue man walks a few steps forward as he speaks, and then sits down.",hcstvg1,3.4 Composite Action Sequences
The man at the door opens the door and then closes it.,hcstvg1,2.3 Sequential Actions
"The man on the far left opens the box, then turns the box",hcstvg1,3.2 Object State Change
The man at the door goes to the pillar.,hcstvg1,3.1.1 Approach & Depart
The standing man turns his head.,hcstvg1,2.1 Actor State Change
The man in red clothes turns and walks away.,hcstvg1,2.1 Actor State Change
The man in black clothes comes into the door and stops at the table.,hcstvg1,3.1.1 Approach & Depart
The man on the far left walks to the table and kisses the woman,hcstvg1,3.1.1 Approach & Depart
"The woman looks at the man on the right, then turns and looks up at the man on the left.",hcstvg1,1.3.1 Gaze
"The man with the gun lowers the gun in his hand, then sits down and reaches over the woman's hand in front of him.",hcstvg1,3.3 Composite Action Sequences
"The man in the green dress turns his head and looks at the man on the left, and then goes forward.",hcstvg1,3.4 Composite Action Sequences
The man in white clothes gestures with one hand and talks to the opposite person.,hcstvg1,1.4 Communicative Acts
The man in the blue stripe takes a sip of the glass.,hcstvg1,2.2 Object State Change
"The man on the left raises his cigarette, takes a breath, and takes it out.",hcstvg1,3.3 Composite Action Sequences
The man with the phone turns around and puts the phone down.,hcstvg1,3.3 Composite Action Sequences
Man walks to the sofa and turns around,hcstvg1,3.1.1 Approach & Depart
The man in the vest turns around and runs away with the woman in the red skirt.,hcstvg1,3.1.1 Approach & Depart
The man in the wheelchair pushes the wheelchair to the cabinet and picks up something.,hcstvg1,3.1.1 Approach & Depart
"The man in the black suit turns to look at the short man next to him, then turns and walks away.",hcstvg1,3.4 Composite Action Sequences
The curly man picks up something on the table and puts it in his bag.,hcstvg1,3.2 Object Transference
The little girl runs from behind the woman in an apron to her.,hcstvg1,3.1.1 Approach & Depart
"The man in brown clothes turns his head, then turns his head again.",hcstvg1,2.1 Actor State Change
The man standing next to the car takes a few steps forward.,hcstvg1,3.1.1 Approach & Depart
The woman in the white hat walks next to the woman in purple and hands her the basket.,hcstvg1,3.1.2 Passing & Crossing
The man in the brown jacket pours himself a glass of wine and drops the bottle.,hcstvg1,3.3 Composite Action Sequences
"The stooped man opens the cabinets, puts something in, and turns around.",hcstvg1,3.3 Composite Action Sequences
The woman in blue clothes turns and runs to the door.,hcstvg1,3.1.1 Approach & Depart
"The man in white clothes walks to the counter, stops, and puts his shoulders on the counter.",hcstvg1,3.3 Composite Action Sequences
"The man in the green dress picks up what had been given, says a few words, then turns and twists his head.",hcstvg1,3.4 Composite Action Sequences
"The dark-haired man reaches out and pushes the things on the table in front of the opposite person, then picks up the phone on the table.",hcstvg1,3.3 Composite Action Sequences
The man stands up and sits on the bed.,hcstvg1,3.4 Composite Action Sequences
The man in the yellow dress waves.,hcstvg1,1.3.2 Indicative Gesture
"The man in the gray suit touches the old man, and then points his finger at the old man.",hcstvg1,1.2.2 Manipulative Contact
Boy in blue clothes bends down and pats on the ground,hcstvg1,3.3 Composite Action Sequences
"The woman in the skirt pushes opens the door and comes in, then closes the door.",hcstvg1,3.3 Composite Action Sequences
The man in blue clothes raises his finger to his left.,hcstvg1,1.3.2 Indicative Gesture
"The man in the white shirt reaches out and takes out the money, and then reaches out and pats the shoulder of the man on the right.",hcstvg1,3.3 Composite Action Sequences
"The man with glasses walks into the counter, lowers his head, and picks up a pen.",hcstvg1,3.3 Composite Action Sequences
"The man on the right shakes hands with the man on the left, then sits down",hcstvg1,3.4 Composite Action Sequences
The woman in short sleeves turns and walks outside the door.,hcstvg1,3.1.1 Approach & Depart
"The woman in the skirt walks to the man in the gray clothes and says a few words, then turns and walks away.",hcstvg1,3.1.1 Approach & Depart
The man in the green cape turns his head and speaks to the man in the blue-red dress.,hcstvg1,2.1 Actor State Change
The man in gray clothes turns and walks away.,hcstvg1,3.1.1 Approach & Depart
The man in a beige suit reaches for the cup on the table and hands it to the old man in the hat.,hcstvg1,3.2 Object Transference
The man passes the things in his hand to the person in the car and closes the door,hcstvg1,3.3 Composite Action Sequences
"The woman on the far right walks to the door, then turns",hcstvg1,3.4 Composite Action Sequences
The man holds the flagsticks the flag on the ground.,hcstvg1,1.2.2 Manipulative Contact
The man on the right stands up and shakes hands with the man in red,hcstvg1,3.4 Composite Action Sequences
The man puts down his knife and stands up.,hcstvg1,3.3 Composite Action Sequences
"The man in the apron takes a basin and walks to the table, then puts the basin up.",hcstvg1,3.3 Composite Action Sequences
The man in the black top hat jumps off the carriage and throws the straw into the carriage.,hcstvg1,3.3 Composite Action Sequences
The woman in brown clothes picks up something on the table.,hcstvg1,3.2 Object Transference
The man in gray clothes takes a few steps and raises his hand.,hcstvg1,3.4 Composite Action Sequences
"The man on the left puts his hand on the shoulder of the man on the right, and hugs him",hcstvg1,1.2.3 Social/Affectionate Contact
The person at the door steps down the steps and turns around.,hcstvg1,3.1.1 Approach & Depart
The man in the suit pulls the woman in the white dress away.,hcstvg1,3.3 Instantaneous Motion & Impact
"The sitting man reaches out and picks up something, then lowers it.",hcstvg1,3.3 Composite Action Sequences
The long-haired woman gets up from the stool and squats.,hcstvg1,2.1 Actor State Change
The man in white clothes pours a glass and gives it to the person on the right.,hcstvg1,3.2 Object Transference
"The woman holding the child picks up a teacup and takes a sip, then puts it down.",hcstvg1,3.3 Composite Action Sequences
The man in the brown suit gets up from the stool and turns around.,hcstvg1,2.1 Actor State Change
"The woman in yellow clothes puts her phone down, stands up, and turns around and walks in front of the man in white.",hcstvg1,3.3 Composite Action Sequences
The boy holding the cup takes a sip.,hcstvg1,3.2 Object Transference
The old man opens the door and gets out of the car,hcstvg1,3.3 Composite Action Sequences
The man turns away and takes something out of his pocket,hcstvg1,3.3 Composite Action Sequences
"The tall man slides down the handrail of the staircase, then goes up the escalator first",hcstvg1,3.3 Composite Action Sequences
The man in red clothes turns around and then bends down.,hcstvg1,2.3 Sequential Actions
The man in black clothes walks to the stool and sits down,hcstvg1,3.4 Composite Action Sequences
The man with the gold ring on his arm puts down his cloth and turns his head.,hcstvg1,3.3 Composite Action Sequences
The white-haired man fingers the bottle and drinks the contents of the bottle.,hcstvg1,3.2 Object Transference
The woman in the gray skirt lifts the skirt and gets into the car.,hcstvg1,3.3 Composite Action Sequences
"The man in white clothes turns around, raises his hands, then takes a few steps and turns around again.",hcstvg1,3.4 Composite Action Sequences
The man in boots turns and walks to the window.,hcstvg1,3.1.1 Approach & Depart
"The man in black clothes turns his head and looks at the back, then turns his head forward, and gives the paper in his hand to the man standing opposite.",hcstvg1,3.3 Composite Action Sequences
The man next to the woman in white clothes turns around and shakes hands with the opposite man.,hcstvg1,3.4 Composite Action Sequences
The woman in blue clothes takes something on the table and wraps it around her wrists a few times.,hcstvg1,3.2 Object Transference
The man in the striped clothes helps the two women next to him to move forward.,hcstvg1,3.1.1 Approach & Depart
The man moves closer to the woman and kisses the woman's cheek.,hcstvg1,3.1.1 Approach & Depart
The man in white clothes walks to the door of the small house.,hcstvg1,3.1.1 Approach & Depart
Man picks up scissors and looks at woman,hcstvg1,3.2 Object Transference
"The man in the shirt raises his hand and pats his hand on his shoulder, lowers his head, then looks up at the woman behind him.",hcstvg1,3.4 Composite Action Sequences
"The woman in the purple dress turns her head and walks to the man in the green dress, then wipes his face with a handkerchief.",hcstvg1,3.4 Composite Action Sequences
"The thin man takes out a cigarette from the cigarette case and puts it in his mouth, then lits a match. He first lits the cigarette for the fat man, and then lits the cigarette for himself.",hcstvg1,3.3 Composite Action Sequences
The man in the blue vest shakes his hands and stands up.,hcstvg1,2.1 Actor State Change
The man in black clothes pours the barrel onto the wood.,hcstvg1,3.2 Object Transference
The woman in yellow clothes turns her head and stands up.,hcstvg1,2.1 Actor State Change
The woman in the green dress speaks and raises her finger next to her.,hcstvg1,1.4 Communicative Acts
"The sitting man supports his head with his hands, then puts the paper on the table forward, and supports his head again.",hcstvg1,3.3 Composite Action Sequences
The man in white clothes walks to the coffee table and stops.,hcstvg1,3.1.1 Approach & Depart
The man in white clothes gets up from the bench and shakes his arm a few times.,hcstvg1,2.1 Actor State Change
The white-haired man helps the man in the hat and walks away from the car.,hcstvg1,3.1.1 Approach & Depart
The man with a tie on the left stands up and walks to the door,hcstvg1,3.1.1 Approach & Depart
The tall man turns and runs away.,hcstvg1,2.1 Actor State Change
"The standing man picks up the things on the table, speaks to the sitting woman, and turns to the round table.",hcstvg1,3.3 Composite Action Sequences
The man with sunglasses runs to the stairs and then goes down the stairs,hcstvg1,3.1.1 Approach & Depart
Man puts hand on woman's back and walks towards the crowd,hcstvg1,3.1.1 Approach & Depart
The man in yellow clothes opens the door and sits in.,hcstvg1,3.3 Composite Action Sequences
"The short man approaches the man in the black suit, stops and speaks to him, then turns and walks away.",hcstvg1,3.1.1 Approach & Depart
The man in the shirt puts the plate in his hand on the table of the sits person.,hcstvg1,3.2 Object Transference
"The girl turns her head and looks up, then gets up from the chair and turns away.",hcstvg1,3.4 Composite Action Sequences
woman opens the door and closes the door,hcstvg1,3.3 Composite Action Sequences
The man in white clothes stands up and goes back to the red-haired woman and looks at her.,hcstvg1,3.1.1 Approach & Depart
A man without a hat takes something with his left hand and gives it to the man with a hat.,hcstvg1,3.2 Object Transference
"The seated man gets up from the chair, walks to the man in brown clothes, holds the paper in his hand, and turns around.",hcstvg1,3.4 Composite Action Sequences
The man with the gun goes to the window.,hcstvg1,3.1.1 Approach & Depart
"The man in white clothes walks from the coffee table to the sofa, then turns and sits on the sofa.",hcstvg1,3.4 Composite Action Sequences
"The woman in the white skirt adjusts her skirt with her left hand and walks slowly to the other woman, leans against the wall.",hcstvg1,3.4 Composite Action Sequences
The woman puts her hands on the man's shoulders and begins to kiss.,hcstvg1,1.2.3 Social/Affectionate Contact
The woman in white clothes sits on the right side of the girl in blue clothes and takes two straws from the table and puts them in two pots.,hcstvg1,3.3 Composite Action Sequences
"The woman sits in the middle of the sofa, stands up, then sits down again.",hcstvg1,3.3 Composite Action Sequences
The man in the gray suit points at himself with a stick and then points the stick aside.,hcstvg1,1.3.2 Indicative Gesture
The woman by the cupboard turns and walks away.,hcstvg1,3.1.1 Approach & Depart
"The woman in purple clothes takes the things in the hands of the man in brown, then turns and walks away.",hcstvg1,3.3 Composite Action Sequences
The man in blue short sleeves shakes a few times and stands up with his hands on his knees.,hcstvg1,2.1 Actor State Change
"The younger man crouches to the right of the older man, then looks aside.",hcstvg1,3.4 Composite Action Sequences
"The man in jeans walks up to the man in brown clothes, hands him the contents, and takes the phone in his hand.",hcstvg1,3.3 Composite Action Sequences
"The man stands opposite the woman turns his head to look at the woman, then walks to the woman to stops, puts her hand on her arm, turns and pulls",hcstvg1,3.4 Composite Action Sequences
The man in black clothes stands up and raises his hand.,hcstvg1,2.1 Actor State Change
The white-haired man takes two steps and raises his hand to speak to the man next to him.,hcstvg1,3.4 Composite Action Sequences
The woman in white clothes follows the man in blue to the tree.,hcstvg1,3.1.3 Following & Leading
The yellow-haired man sits down and stretches out a hand.,hcstvg1,3.3 Composite Action Sequences
"The man in red clothes comes in and puts down his hat, then goes to the woman, grabs the woman's arm, looks at it, and puts it down again.",hcstvg1,3.4 Composite Action Sequences
The woman is embraced by the shirtless man and pushes the man away.,hcstvg1,1.2.3 Social/Affectionate Contact
"The woman in the plaid coat arranges the clothes on the man 's shoulder, then turns to the man 's front, and sweeps his right hand over the man 's shoulder",hcstvg1,3.4 Composite Action Sequences
The woman in gray clothes turns around to takes over the things from the opposite man and then turns.,hcstvg1,3.3 Composite Action Sequences
The man pats the old man's shoulder and places it on the table.,hcstvg1,3.2 Object Transference
The boy in the shirt hugs the woman in purple.,hcstvg1,1.2.3 Social/Affectionate Contact
The woman in blue clothes picks up an earring and puts it on her right ear.,hcstvg1,3.2 Object Transference
The man in white clothes reaches out and picks up something on the table.,hcstvg1,3.2 Object Transference
The woman in the hat glances at the woman next to her and walks away.,hcstvg1,3.1.1 Approach & Depart
The woman in the purple dress pulls the hand of the man holding the woman in the pink dress and slaps him .,hcstvg1,3.3 Instantaneous Motion & Impact
The man in the robe turns back down the stairs and turns to looks at the woman in a turban.,hcstvg1,3.1.1 Approach & Depart
The black-haired man walks next to the yellow-haired man.,hcstvg1,3.1.2 Passing & Crossing
military man picks up the cup and takes a sip and puts it down,hcstvg1,3.3 Composite Action Sequences
"The man in black clothes takes the things on the table and hands them to the opposite man, and then the opposite man grabs his hands.",hcstvg1,3.3 Composite Action Sequences
The man in blue clothes carries the woman and turns to the door.,hcstvg1,3.4 Composite Action Sequences
"The white-bearded man pulls down his clothes, then raises his hand and turns to looks at the man in white.",hcstvg1,3.4 Composite Action Sequences
"The little girl in the white skirt kisses the woman on the right, and runs to the man on the left and kisses him.",hcstvg1,1.2.3 Social/Affectionate Contact
"The woman in black clothes turns to look at the person next to her, and then looks forward.",hcstvg1,2.1 Actor State Change
"The standing man takes a few steps forward, then turns around.",hcstvg1,3.1.1 Approach & Depart
The white-haired man unfastens his seat belt and stands up.,hcstvg1,2.3 Sequential Actions
"Thin woman pulls fat woman's clothes, then stands akimbo.",hcstvg1,3.3 Composite Action Sequences
The man in gray clothes walks to the man who is smoking.,hcstvg1,3.1.1 Approach & Depart
The man in the black hat walks from the door to the table.,hcstvg1,3.1.1 Approach & Depart
"The man in black clothes goes to the girl in the hat and touches her shoulder, then turns and walks away.",hcstvg1,3.1.1 Approach & Depart
The man in the orange shirt stops at the pillar.,hcstvg1,2.4 Durational States & Non-Actions
The woman picks up the basket and puts it on the ground,hcstvg1,3.2 Object Transference
Bald man opens the lid and crawls out,hcstvg1,3.2 Object State Change
"The man in brown clothes puts his legs on the chair next to him, takes out the folds paper from his boots, and opens the document.",hcstvg1,3.3 Composite Action Sequences
"The man in white clothes points to the person on the right, then retracts.",hcstvg1,1.3.2 Indicative Gesture
"The woman walks forward to see the man stop, and then continues forward after a while",hcstvg1,3.1.1 Approach & Depart
The standing woman walks to the sitting man.,hcstvg1,3.1.1 Approach & Depart
"The middle tall man puts money in the middle bag, and puts his left arm on the car door.",hcstvg1,3.3 Composite Action Sequences
The man in green clothes walks behind the man in brown.,hcstvg1,3.1.1 Approach & Depart
The long-haired woman holds the little girl and turns in a circle.,hcstvg1,3.4 Composite Action Sequences
men in blue clothes comes over and sat down,hcstvg1,3.1.1 Approach & Depart
"The tall man reaches out to take over the things that the man with the glasses hands over, then turns around.",hcstvg1,3.3 Composite Action Sequences
The man in blue clothes picks up a cup and takes a sip.,hcstvg1,3.2 Object Transference
"The man in white clothes walks a few steps forward , stops , and puts his contents on the ground .",hcstvg1,3.3 Composite Action Sequences
The man in the black hat raises his hand and scratches his neck a few times before turning his head forward.,hcstvg1,3.4 Composite Action Sequences
The woman squatted and shakes hands with the man opposite.,hcstvg1,3.4 Composite Action Sequences
The man with yellow hair walks in front of the woman and turns around.,hcstvg1,3.1.1 Approach & Depart
The man in the hat follows the person in front of the door and stops.,hcstvg1,3.1.3 Following & Leading
"The woman in white clothes comes to the table, puts her hands on the table, paused, and turns away.",hcstvg1,3.3 Composite Action Sequences
The woman in black clothes looks up to the front then turns to the left again.,hcstvg1,2.1 Actor State Change
The long-haired woman goes to the stool and sits down.,hcstvg1,3.1.1 Approach & Depart
The woman takes two steps and is stopped by the man at the door.,hcstvg1,3.1.1 Approach & Depart
The man in a suit walks down the flight of stairs.,hcstvg1,3.1.1 Approach & Depart
The woman in the black dress stands up and walks away.,hcstvg1,2.1 Actor State Change
The woman in the black hat hugs three children and then turns.,hcstvg1,3.4 Composite Action Sequences
The man at the door carries something to the plant.,hcstvg1,3.2 Object Transference
The man in the white shirt stoops to raise the stool on the ground then turns his head.,hcstvg1,3.4 Composite Action Sequences
"The crying woman turns her head and speaks to the man behind her, and continued to look forward.",hcstvg1,3.4 Composite Action Sequences
The man on the right stands up and turns away,hcstvg1,2.1 Actor State Change
"The long-haired woman runs to the man in the red suit and hugs him, kisses his face twice.",hcstvg1,1.2.3 Social/Affectionate Contact
"The man in the hat pulls the stick next to him, then pulls away from the woman behind him.",hcstvg1,3.3 Composite Action Sequences
The man on the right walks to the car and sits in the car,hcstvg1,3.4 Composite Action Sequences
"The man in the gray suit reaches out and pats the man in the white suit, then turns.",hcstvg1,3.3 Composite Action Sequences
The woman in striped clothes is pulled aside by the man with the whip and then pulls away by the man with the whip.,hcstvg1,3.3 Instantaneous Motion & Impact
The smoking man sits down.,hcstvg1,2.1 Actor State Change
The man sitting on the ground extends his hand to the standing man and then lies down.,hcstvg1,3.3 Composite Action Sequences
The man in brown clothes walks to the smoking man and turns around.,hcstvg1,3.1.1 Approach & Depart
The man turns and holds the woman's hand.,hcstvg1,3.4 Composite Action Sequences
The woman in the turban hands the phone in the opposite person.,hcstvg1,3.2 Object Transference
The second man from right to left stands up and picks up the cup,hcstvg1,3.3 Composite Action Sequences
The man in black clothes shakes the spoon in his hand and places it on the table.,hcstvg1,3.3 Composite Action Sequences
"The woman in the red skirt turns around and goes to the door, then turned.",hcstvg1,3.4 Composite Action Sequences
"The short man stands up, then opens the door and runs to the window.",hcstvg1,3.3 Composite Action Sequences
The person in the flower hat walks forward a few steps and then sits down,hcstvg1,3.4 Composite Action Sequences
The man in the hat walks away from the door.,hcstvg1,3.1.1 Approach & Depart
The bearded man steps back into the crowd.,hcstvg1,3.1.1 Approach & Depart
The standing man waves his hands and gestures.,hcstvg1,1.3.2 Indicative Gesture
"The black-hair man gives something to the yellow-hair man, speaks a few words to him, and raises his hand.",hcstvg1,3.3 Composite Action Sequences
"The man in blue clothes raises his hand, touches his mouth, and turns his head.",hcstvg1,3.4 Composite Action Sequences
The man in a suit stands up.,hcstvg1,2.1 Actor State Change
"As the man with glasses talks, he pushes a few women out of the house, and then grasps the door with his left hand.",hcstvg1,3.3 Composite Action Sequences
"The woman in the white skirt hugs the man in the black suit, and then pats the man in the black suit on the shoulder.",hcstvg1,1.2.3 Social/Affectionate Contact
The standing man turns and looks down.,hcstvg1,2.1 Actor State Change
The man in black clothes turns around.,hcstvg1,2.1 Actor State Change
The man in the white shirt walks to the wall and stops.,hcstvg1,3.1.1 Approach & Depart
The woman in black clothes stands up and turns.,hcstvg1,2.1 Actor State Change
"The man in white clothes takes the thing the next man gives him, puts it in his mouth and takes a bite.",hcstvg1,3.3 Composite Action Sequences
"The man in the white scarf turns his head and looks up, then stands up and puts his hands behind his back.",hcstvg1,3.4 Composite Action Sequences
Tall man walks into the crowd and picks up something on the ground,hcstvg1,3.1.1 Approach & Depart
"The woman on the right turns, and then returns to the room",hcstvg1,2.1 Actor State Change
"The man next to the first post walks to the other post, then squats",hcstvg1,3.1.1 Approach & Depart
The man in black clothes goes to the woman in the white hat and hands her a book.,hcstvg1,3.1.1 Approach & Depart
The woman in the red dress walks to the door and pushes it open after it burns out,hcstvg1,3.3 Composite Action Sequences
"The man in the brown clothes fastens his buttons, then raises his hands and touched his nose.",hcstvg1,3.3 Composite Action Sequences
"The sitting woman raises her hand and smokes, and puts her arm on the chair.",hcstvg1,3.3 Composite Action Sequences
"The man in the white shirt walks to the stool, reaches for the water glass, and then picks up the kettle.",hcstvg1,3.3 Composite Action Sequences
The man in the green dress touches his head.,hcstvg1,3.3 Instantaneous Motion & Impact
"The woman walks up high, then turns and sits down and looks away.",hcstvg1,3.4 Composite Action Sequences
